player_name,overall,club
Danny Ings,77,Liverpool
Andros Townsend,77,Crystal Palace
Shinji Okazaki,77,Leicester City
Costel Pantilimon,77,Watford
Jan Kirchhoff,77,Sunderland
Michail Antonio,77,West Ham United
Tom Cleverley,77,Everton
Daryl Janmaat,77,Watford
Cheikhou Kouyaté,77,West Ham United
Geoff Cameron,77,Stoke City
Kieran Trippier,77,Tottenham Hotspur
Odion Ighalo,77,Watford
Jose Holebas,77,Watford
Stefano Okaka,77,Watford
Sebastian Prödl,77,Watford
Nathan Dyer,77,Swansea City
Jay Rodriguez,77,Southampton
Lee Cattermole,77,Sunderland
Darron Gibson,77,Everton
Shane Long,77,Southampton
Curtis Davies,77,Hull City
Younès Kaboul,77,Watford
Glenn Whelan,77,Stoke City
Valon Behrami,77,Watford
Robert Snodgrass,77,Hull City
Jason Puncheon,77,Crystal Palace
Steven Davis,77,Southampton
Leon Britton,77,Swansea City
Glen Johnson,77,Stoke City
Michael Dawson,77,Hull City
Marcus Rashford,76,Manchester United
Kelechi Iheanacho,76,Manchester City
Enner Valencia,76,Everton
Jonathan Calleri,76,West Ham United
Manquillo,76,Sunderland
Adnan Januzaj,76,Sunderland
Abdoulaye Doucouré,76,Watford
James Ward-Prowse,76,Southampton
Alberto Moreno,76,Liverpool
Jordan Pickford,76,Sunderland
Saido Berahino,76,West Bromwich Albion
Muhamed Bešić,76,Everton
Pedro Obiang,76,West Ham United
Callum Wilson,76,Bournemouth
Diafra Sakho,76,West Ham United
Pape Souaré,76,Crystal Palace
Marc Muniesa,76,Stoke City
Markus Henriksen,76,Hull City
Christian Kabasele,76,Watford
Aaron Cresswell,76,West Ham United
Alex McCarthy,76,Southampton
Miguel Angel Britos,76,Watford
Abel Hernández,76,Hull City
Leroy Fer,76,Swansea City
Fabio Borini,76,Sunderland
Lamine Koné,76,Sunderland
Marc Albrighton,76,Leicester City
Erik Pieters,76,Stoke City
Craig Gardner,76,West Bromwich Albion
James Tomkins,76,Crystal Palace
Victor Moses,76,Chelsea
Eduardo,76,Chelsea
Mathieu Flamini,76,Crystal Palace
Charlie Adam,76,Stoke City
Àngel Rangel,76,Swansea City
Darren Fletcher,76,West Bromwich Albion
Gareth McAuley,76,West Bromwich Albion
Artur Boruc,76,Bournemouth
Wayne Routledge,76,Swansea City
Steven Pienaar,76,Sunderland
Jonas Olsson,76,West Bromwich Albion
James Collins,76,West Ham United
Maarten Stekelenburg,76,Everton
Andrew Robertson,75,Hull City
Pierre-Emile Højbjerg,75,Southampton
Arthur Masuaku,75,West Ham United
Oumar Niasse,75,Everton
Mike van der Hoorn,75,Swansea City
Modou Barrow,75,Swansea City
Michael Keane,75,Burnley
Calum Chambers,75,Middlesbrough
Ilori,75,Liverpool
Viktor Fischer,75,Middlesbrough
Matthew Lowton,75,Burnley
Oriol Romeu,75,Southampton
Nathan Redmond,75,Southampton
Joel Robles,75,Everton
Andre Gray,75,Burnley
Ahmed Elmohamady,75,Hull City
Ryan Mason,75,Hull City
Jake Livermore,75,Hull City
Kyle Naughton,75,Swansea City
Joel Ward,75,Crystal Palace
Patrick van Aanholt,75,Sunderland
Harry Arter,75,Bournemouth
Jérémy Pied,75,Southampton
Jack Rodwell,75,Sunderland
Vito Mannone,75,Sunderland
Neil Taylor,75,Swansea City
Andrew Surman,75,Bournemouth
Wayne Hennessey,75,Crystal Palace
Darren Randolph,75,West Ham United
Danny Simpson,75,Leicester City
Barragán,75,Middlesbrough
Joe Ledley,75,Crystal Palace
Sebastian Larsson,75,Sunderland
James Morrison,75,West Bromwich Albion
Damien Delaney,75,Crystal Palace
Arbeloa,75,West Ham United
David Marshall,75,Hull City
Jonathan Walters,75,Stoke City
Arouna Koné,75,Everton
Tom Huddlestone,75,Hull City
Stewart Downing,75,Middlesbrough
Peter Crouch,75,Stoke City
Allan McGregor,75,Hull City
Shay Given,75,Stoke City
Isaac Success,74,Watford
Jason Denayer,74,Sunderland
Didier Ndong,74,Sunderland
Daniel Amartey,74,Leicester City
Florin Gardoş,74,Southampton
Benik Afobe,74,Bournemouth
James McClean,74,West Bromwich Albion
Daniel Ayala,74,Middlesbrough
Steve Cook,74,Bournemouth
Connor Wickham,74,Crystal Palace
Ben Mee,74,Burnley
Fábio,74,Middlesbrough
Matt Phillips,74,West Bromwich Albion
Adam Clayton,74,Middlesbrough
Yohan Benalouane,74,Leicester City
Stephen Ireland,74,Stoke City
Victor Anichebe,74,Sunderland
Marc Wilson,74,Bournemouth
Leonardo Ulloa,74,Leicester City
Brad Guzan,74,Middlesbrough
Shaun Maloney,74,Hull City
Gerhard Tremmel,74,Swansea City
John O'Shea,74,Sunderland
Pau López,73,Tottenham Hotspur
Kenedy,73,Chelsea
Alex Iwobi,73,Arsenal
Sam Byram,73,West Ham United
Jon Flanagan,73,Burnley
Carl Jenkinson,73,Arsenal
Kristoffer Nordfeldt,73,Swansea City
Maya Yoshida,73,Southampton
Callum McManaman,73,West Bromwich Albion
George Friend,73,Middlesbrough
Christian Stuani,73,Middlesbrough
Joshua King,73,Bournemouth
Dušan Kuciak,73,Hull City
Jordan Rhodes,73,Middlesbrough
Martin Kelly,73,Crystal Palace
Craig Cathcart,73,Watford
Sam Vokes,73,Burnley
Juan Camilo Zúñiga,73,Watford
Charlie Daniels,73,Bournemouth
Adam Federici,73,Bournemouth
Phil Bardsley,73,Stoke City
Ben Watson,73,Watford
Lee Chung Yong,73,Crystal Palace
Simon Francis,73,Bournemouth
Boaz Myhill,73,West Bromwich Albion
Alexander Manninger,73,Liverpool
Timothy Fosu-Mensah,72,Manchester United
Adama,72,Middlesbrough
Paddy McNair,72,Sunderland
Nathan Aké,72,Bournemouth
Ryan Fraser,72,Bournemouth
Kevin Stewart,72,Liverpool
Cuco Martina,72,Southampton
Harry Maguire,72,Hull City
Tom Carroll,72,Tottenham Hotspur
Moses Odubajo,72,Hull City
Jeff Hendrick,72,Burnley
Ben Gibson,72,Middlesbrough
Bryan Oviedo,72,Everton
Adam Forshaw,72,Middlesbrough
Jóhann Berg Gudmundsson,72,Burnley
Adama Valentin Diomande,72,Hull City
David Meyler,72,Hull City
Dan Gosling,72,Bournemouth
Bakary Sako,72,Crystal Palace
Scott Arfield,72,Burnley
Adrian Mariappa,72,Watford
Nsue,72,Middlesbrough
Marc Pugh,72,Bournemouth
Stephen Ward,72,Burnley
Dimitrios Konstantopoulos,72,Middlesbrough
David Nugent,72,Middlesbrough
Julián Speroni,72,Crystal Palace
Ramadan Sobhi,71,Stoke City
Marko Grujić,71,Liverpool
Josh Onomah,71,Tottenham Hotspur
Demarai Gray,71,Leicester City
Bartosz Kapustka,71,Leicester City
Tyrone Mings,71,Bournemouth
Juan Carlos Paredes,71,Watford
Patrick Bamford,71,Burnley
Jordon Ibe,71,Bournemouth
James Tarkowski,71,Burnley
Mika,71,Sunderland
Adam Smith,71,Bournemouth
Ashley Barnes,71,Burnley
Andy King,71,Leicester City
Adlène Guédioura,71,Watford
George Boyd,71,Burnley
Fraizer Campbell,71,Crystal Palace
Grant Leadbitter,71,Middlesbrough
Dean Marney,71,Burnley
Billy Jones,71,Sunderland
Lewis Cook,70,Bournemouth
Stephen Kingsley,70,Swansea City
Cameron Brannagan,70,Liverpool
Julien De Sart,70,Middlesbrough
Edimilson Fernandes,70,West Ham United
Nathaniel Chalobah,70,Chelsea
Todd Kane,70,Chelsea
Jeffrey Schlupp,70,Leicester City
Mejías,70,Middlesbrough
Tendayi Darikwa,70,Burnley
Junior Stanislas,70,Bournemouth
Jordon Mutch,70,Crystal Palace
Lewis Grabban,70,Bournemouth
Marcin Wasilewski,70,Leicester City
Michael Kightly,70,Burnley
Paul Robinson,70,Burnley
Dominic Solanke,69,Chelsea
Joe Gomez,69,Liverpool
Duncan Watmore,69,Sunderland
James Wilson,69,Manchester United
Yaya Sanogo,69,Arsenal
Giedrius Arlauskis,69,Watford
Matty James,69,Leicester City
Rhoys Wiggins,69,Bournemouth
Alex Bruce,69,Hull City
Chris Brunt,69,West Bromwich Albion
Lys Mousset,68,Bournemouth
Matt Targett,68,Southampton
Ruben Loftus-Cheek,68,Chelsea
Brendan Galloway,68,West Bromwich Albion
Alfie Mawson,68,Swansea City
Sam Johnstone,68,Manchester United
Harrison Reed,68,Southampton
Sam Clucas,68,Hull City
Mark Birighitti,68,Swansea City
Eldin Jakupović,68,Hull City
Stuart Taylor,68,Southampton
Axel Tuanzebe,67,Manchester United
Trent Alexander-Arnold,67,Liverpool
Ben Chilwell,67,Leicester City
Rob Holding,67,Arsenal
Gedion Zelalem,67,Arsenal
Ashley Fletcher,67,West Ham United
Lloyd Isgrove,67,Southampton
Will Keane,67,Hull City
Tyias Browning,67,Everton
Craig Dawson,67,West Bromwich Albion
Hal Robson-Kanu,67,West Bromwich Albion
Oviemuno Ejaria,66,Liverpool
Reece Oxford,66,West Ham United
Lynden Gooch,66,Sunderland
Harry Winks,66,Tottenham Hotspur
Jay Fulton,66,Swansea City
Thierry Ambrose,66,Manchester City
Ezekiel Fryers,66,Crystal Palace
Kevin Long,66,Burnley
Ben Hamer,66,Leicester City
Lee Grant,66,Stoke City
Kieran Dowell,65,Everton
Mason Holgate,65,Everton
Martin Samuelsen,65,West Ham United
Pablo Maffeo,65,Manchester City
Angeliño,65,Manchester City
Angus Gunn,65,Manchester City
Emerson Hyndman,65,Bournemouth
Brad Smith,65,Bournemouth
James Husband,65,Middlesbrough
Jack Stephens,65,Southampton
Conor McAleny,65,Everton
Sam Field,64,West Bromwich Albion
Joe Riley,64,Manchester United
Brahim Díaz,64,Manchester City
Jonathan Leko,64,West Bromwich Albion
Jeff Reine-Adelaïde,64,Arsenal
Cameron Carter-Vickers,64,Tottenham Hotspur
Ainsley Maitland-Niles,64,Arsenal
Daniel Crowley,64,Arsenal
Sheyi Ojo,64,Liverpool
Matthew Pennington,64,Everton
Chuba Akpom,64,Arsenal
Jakob Haugaard,64,Stoke City
Nick Pope,64,Burnley
Ryan Allsop,64,Bournemouth
Kwesi Appiah,64,Crystal Palace
Ben Woodburn,63,Liverpool
Joel Asoro,63,Sunderland
Aleix García,63,Manchester City
Regan Poole,63,Manchester United
Ola Aina,63,Chelsea
Dionatan Teixeira,63,Stoke City
Jake Hesketh,63,Southampton
Dominic Calvert-Lewin,63,Everton
Josh Sims,63,Southampton
Sam McQueen,63,Southampton
Ryan Seager,63,Southampton
Brian Lenihan,63,Hull City
Domingos Quina,62,West Ham United
Toni Martínez,62,West Ham United
Joe Ward,62,West Bromwich Albion
Carlos de Pena,62,Middlesbrough
Aiden O'Neill,62,Burnley
Zachary Elbouzedi,62,West Bromwich Albion
Oliver Shenton,62,Stoke City
Jonathan Benteke,62,Crystal Palace
Oliver McBurnie,62,Swansea City
Jake Flannigan,62,Southampton
Daniel Bachmann,62,Stoke City
Fikayo Tomori,61,Chelsea
Kyle Edwards,61,West Bromwich Albion
Michael Folivi,61,Watford
Tom Beadling,61,Sunderland
Cameron Humphreys-Grant,61,Manchester City
Ian Lawlor,61,Manchester City
Marcus Edwards,60,Tottenham Hotspur
Josh Maja,60,Sunderland
Daniel James,60,Swansea City
Marcus Browne,60,West Ham United
Djair Parfitt-Williams,60,West Ham United
Will Patching,60,Manchester City
Eddy Lecygne,60,Stoke City
Shayon Harrison,60,Tottenham Hotspur
Kyle Walker-Peters,60,Tottenham Hotspur
Rees Greenwood,60,Sunderland
Thomas Robson,60,Sunderland
Aaron Nemane,60,Manchester City
Jack Rose,60,West Bromwich Albion
Alex Bray,60,Swansea City
Raphael Spiegel,60,West Ham United
Ben Hinchliffe,59,Hull City
Ollie Harfield,59,Bournemouth
Jay Dasilva,59,Chelsea
Luke Dreher,59,Crystal Palace
Jordan Lee,59,Bournemouth
Botti Biabi,59,Swansea City
Sergio Molina,59,Stoke City
Liam Edwards,59,Stoke City
Owain Jones,59,Swansea City
Will Wood,59,Southampton
Jordan Williams,59,Liverpool
Johan Ter Horst,59,Hull City
Connor Ogilvie,59,Tottenham Hotspur
Tosin Adarabioyo,59,Manchester City
Jerome Sinclair,59,Watford
George Honeyman,59,Sunderland
Jordan McGhee,59,Middlesbrough
Donald Love,59,Sunderland
Rene Gilmartin,59,Watford
Ellis Barkworth,58,Hull City
Dara O'Shea,58,West Bromwich Albion
Jimmy Dunne,58,Burnley
Robbie Leitch,58,Burnley
Josh Tymon,58,Hull City
Kyle Scott,58,Chelsea
Ryan Blair,58,Swansea City
Luke Amos,58,Tottenham Hotspur
Jack Fitzwater,58,West Bromwich Albion
Tom Davies,58,Everton
Joe Rodon,58,Swansea City
Greg Luer,58,Hull City
Ryan Sweeney,58,Stoke City
Chris Willock,58,Arsenal
Ola Adeyemo,58,Watford
Bradley Collins,58,Chelsea
Maksymilian Stryjek,58,Sunderland
Marcus Barnes,58,Southampton
Sean Goss,58,Manchester United
Admiral Muskwe,57,Leicester City
Nathan McGinley,57,Middlesbrough
Andre Coker,57,Crystal Palace
Ben Wynter,57,Crystal Palace
Thomas Dyson,57,Swansea City
Shaun Donnellan,57,West Bromwich Albion
Christian Maghoma,57,Tottenham Hotspur
Ethan Robson,57,Sunderland
Matty Foulds,57,Everton
Sadiq El Fitouri,57,Manchester United
Jarrod Bowen,57,Hull City
Jonjoe Kenny,57,Everton
Joshua Debayo,57,Leicester City
Daniel Batty,56,Hull City
Harvey Barnes,56,Leicester City
Rhyle Ovenden,56,Watford
Declan Rice,56,West Ham United
Corey Jordan,56,Bournemouth
Anton Walkes,56,Tottenham Hotspur
Oliver O'Dwyer,56,Crystal Palace
Trevoh Chalobah,56,Chelsea
Aaron Bissaka,56,Crystal Palace
Callum Connolly,56,Everton
Daniel Iversen,56,Leicester City
Dom Telford,56,Stoke City
Connor Randall,56,Liverpool
Bryn Morris,56,Middlesbrough
Dylan Watts,55,Leicester City
Layton Ndukwu,55,Leicester City
Charlie Rowan,55,Watford
Levi Lumeka,55,Crystal Palace
Bradley Jackson,55,Burnley
Corie Andrews,55,Crystal Palace
Alex Palmer,55,West Bromwich Albion
Brandon Mason,54,Watford
Jordan Holmes,54,Bournemouth
Patrick O'Flaherty,54,Bournemouth
Nathan Gartside,54,Watford
George Byers,54,Swansea City
Adam Phillips,54,Liverpool
Conor Mitchell,54,Burnley
Matty Miles,53,Leicester City
Jamie Thomas,53,Burnley
Taofiq Olomowewe,53,Burnley
Arlen Birch,53,Burnley
Hayden Coulson,53,Middlesbrough
Harvey Rodgers,53,Hull City
Josh Clackstone,53,Hull City
Callum Cooke,53,Middlesbrough
Freddy Yao,52,Burnley
Harry Voss,52,Tottenham Hotspur
Matt Macey,52,Arsenal
Tony Aghayere,51,Burnley
Christian Hill,51,Burnley
Lewis Maloney,51,Middlesbrough
Jasko Keranovic,50,West Bromwich Albion
Ethan Ross,50,West Bromwich Albion
