player_name,overall,club
Abdoulaye Doucouré,81,Watford
Ben Davies,81,Tottenham Hotspur
Benjamin Mendy,81,Manchester City
Granit Xhaka,81,Arsenal
Dejan Lovren,81,Liverpool
Xherdan Shaqiri,81,Liverpool
Ander Herrera,81,Manchester United
Chris Smalling,81,Manchester United
Manuel Lanzini,81,West Ham United
Erik Lamela,81,Tottenham Hotspur
Danny Rose,81,Tottenham Hotspur
Antonio Valencia,81,Manchester United
Łukasz Fabiański,81,West Ham United
João Moutinho,81,Wolverhampton Wanderers
James Milner,81,Liverpool
Fabián Balbuena,80,West Ham United
Rúben Neves,80,Wolverhampton Wanderers
André Gomes,80,Everton
Michael Keane,80,Everton
Luke Shaw,80,Manchester United
Bernard,80,Everton
Nick Pope,80,Burnley
Héctor Bellerín,80,Arsenal
Jannik Vestergaard,80,Southampton
James Tarkowski,80,Burnley
Deulofeu,80,Watford
Eric Dier,80,Tottenham Hotspur
Lucas Digne,80,Everton
Alex Oxlade-Chamberlain,80,Liverpool
Serge Aurier,80,Tottenham Hotspur
Joel Matip,80,Liverpool
Andriy Yarmolenko,80,West Ham United
Roberto Pereyra,80,Watford
Guaita,80,Crystal Palace
Victor Wanyama,80,Tottenham Hotspur
Fabian Delph,80,Manchester City
Adam Lallana,80,Liverpool
Séamus Coleman,80,Everton
Nacho Monreal,80,Arsenal
Sergio Romero,80,Manchester United
Daniel Sturridge,80,Liverpool
Steven Defour,80,Burnley
Gary Cahill,80,Chelsea
Richarlison,79,Everton
Victor Lindelöf,79,Manchester United
Davide Zappacosta,79,Chelsea
Jefferson Lerma,79,AFC Bournemouth
Max Meyer,79,Crystal Palace
Jonny,79,Wolverhampton Wanderers
Nathan Aké,79,AFC Bournemouth
Sead Kolašinac,79,Arsenal
Sergio Rico,79,Fulham
Luka Milivojević,79,Crystal Palace
Kurt Zouma,79,Everton
Mohamed Elyounoussi,79,Southampton
Marcos Rojo,79,Manchester United
Marco van Ginkel,79,Chelsea
Danilo,79,Manchester City
Ross Barkley,79,Chelsea
Mathew Ryan,79,Brighton and Hove Albion
Callum Wilson,79,AFC Bournemouth
Phil Jones,79,Manchester United
Cenk Tosun,79,Everton
Jóhann Berg Guðmundsson,79,Burnley
Nathaniel Clyne,79,Liverpool
Ben Mee,79,Burnley
Iborra,79,Leicester City
Jack Wilshere,79,West Ham United
Danny Drinkwater,79,Chelsea
Mamadou Sakho,79,Crystal Palace
Javier Hernández,79,West Ham United
Fabricio,79,Fulham
Morgan Schneiderlin,79,Everton
Marouane Fellaini,79,Manchester United
Simon Mignolet,79,Liverpool
Asmir Begović,79,AFC Bournemouth
Ryan Bertrand,79,Southampton
Theo Walcott,79,Everton
Tom Heaton,79,Burnley
Ashley Young,79,Manchester United
Joe Hart,79,Burnley
Stephan Lichtsteiner,79,Arsenal
Trent Alexander-Arnold,78,Liverpool
Ben Chilwell,78,Leicester City
Joe Gomez,78,Liverpool
Diogo Jota,78,Wolverhampton Wanderers
Yerry Mina,78,Everton
Martin Dúbravka,78,Newcastle United
Alex Iwobi,78,Arsenal
Mario Lemina,78,Southampton
Leander Dendoncker,78,Wolverhampton Wanderers
Andreas Pereira,78,Manchester United
Raúl Jiménez,78,Wolverhampton Wanderers
Jamaal Lascelles,78,Newcastle United
Terence Kongolo,78,Huddersfield Town
Christopher Schindler,78,Huddersfield Town
Lewis Dunk,78,Brighton and Hove Albion
Oriol Romeu,78,Southampton
Lucas Pérez,78,West Ham United
Florian Lejeune,78,Newcastle United
Tom Cairney,78,Fulham
Aaron Mooy,78,Huddersfield Town
Andros Townsend,78,Crystal Palace
Adrián,78,West Ham United
Steve Cook,78,AFC Bournemouth
Shane Duffy,78,Brighton and Hove Albion
Christian Kabasele,78,Watford
Jonjo Shelvey,78,Newcastle United
Joshua King,78,AFC Bournemouth
Adrien Silva,78,Leicester City
Troy Deeney,78,Watford
Jose Holebas,78,Watford
Etienne Capoue,78,Watford
Claudio Bravo,78,Manchester City
James Tomkins,78,Crystal Palace
Victor Moses,78,Chelsea
Jack Cork,78,Burnley
Jonny Evans,78,Leicester City
Ben Foster,78,Watford
Issa Diop,77,West Ham United
Florin Andone,77,Brighton and Hove Albion
Lewis Cook,77,AFC Bournemouth
Harry Winks,77,Tottenham Hotspur
James Maddison,77,Leicester City
José Izquierdo,77,Brighton and Hove Albion
Alireza Jahanbakhsh,77,Brighton and Hove Albion
Aleksandar Mitrović,77,Fulham
Ruben Loftus-Cheek,77,Chelsea
Divock Origi,77,Liverpool
Mohamed Elneny,77,Arsenal
Ryan Fraser,77,AFC Bournemouth
Will Hughes,77,Watford
James Ward-Prowse,77,Southampton
Alberto Moreno,77,Liverpool
Willy Boly,77,Wolverhampton Wanderers
Robbie Brady,77,Burnley
Cédric,77,Southampton
Pedro Obiang,77,West Ham United
Matthew Lowton,77,Burnley
Manolo Gabbiadini,77,Southampton
Charlie Austin,77,Southampton
Montoya,77,Brighton and Hove Albion
Davy Pröpper,77,Brighton and Hove Albion
André Schürrle,77,Fulham
Chris Wood,77,Burnley
Pascal Groß,77,Brighton and Hove Albion
Alex McCarthy,77,Southampton
Salomón Rondón,77,Newcastle United
James McCarthy,77,Everton
Daryl Janmaat,77,Watford
Matt Ritchie,77,Newcastle United
Danny Welbeck,77,Arsenal
Angelo Ogbonna,77,West Ham United
Mathias Jørgensen,77,Huddersfield Town
Moussa Sissoko,77,Tottenham Hotspur
Carlos Sánchez,77,West Ham United
Andy Carroll,77,West Ham United
Winston Reid,77,West Ham United
Glenn Murray,77,Brighton and Hove Albion
Leighton Baines,77,Everton
Michel Vorm,77,Tottenham Hotspur
Gomes,77,Watford
Phil Jagielka,77,Everton
Jermain Defoe,77,AFC Bournemouth
Yoshinori Mutō,76,Newcastle United
Rob Holding,76,Arsenal
Mason Holgate,76,Everton
Demarai Gray,76,Leicester City
Diego Rico,76,AFC Bournemouth
Camarasa,76,Cardiff City
Wesley Hoedt,76,Southampton
Kenedy,76,Newcastle United
Ayoze Pérez,76,Newcastle United
Pierre-Emile Højbjerg,76,Southampton
DeAndre Yedlin,76,Newcastle United
Luciano Vietto,76,Fulham
Nathaniel Chalobah,76,Watford
Anthony Knockaert,76,Brighton and Hove Albion
Federico Fernández,76,Newcastle United
Jordan Ayew,76,Crystal Palace
Danny Ings,76,Southampton
Andre Gray,76,Watford
Adam Smith,76,AFC Bournemouth
Michail Antonio,76,West Ham United
Eliaquim Mangala,76,Manchester City
Kiko Femenía,76,Watford
Tom Cleverley,76,Watford
Aaron Cresswell,76,West Ham United
Ashley Barnes,76,Burnley
Cheikhou Kouyaté,76,Crystal Palace
Patrick van Aanholt,76,Crystal Palace
Matteo Darmian,76,Manchester United
Christian Benteke,76,Crystal Palace
Jonathan Hogg,76,Huddersfield Town
Marc Albrighton,76,Leicester City
Ciaran Clark,76,Newcastle United
Dale Stephens,76,Brighton and Hove Albion
Ki Sung Yueng,76,Newcastle United
Sam Vokes,76,Burnley
Jonas Lössl,76,Huddersfield Town
Fraser Forster,76,Southampton
James McArthur,76,Crystal Palace
Llorente,76,Tottenham Hotspur
Robert Snodgrass,76,West Ham United
Mark Noble,76,West Ham United
Aaron Lennon,76,Burnley
Pablo Zabaleta,76,West Ham United
Willy Caballero,76,Chelsea
Ryan Sessegnon,75,Fulham
Bernardo,75,Brighton and Hove Albion
Çağlar Söyüncü,75,Leicester City
Tom Davies,75,Everton
Vincent Janssen,75,Tottenham Hotspur
Kelechi Iheanacho,75,Leicester City
Steve Mounié,75,Huddersfield Town
Hélder Costa,75,Wolverhampton Wanderers
Georges-Kévin Nkoudou,75,Tottenham Hotspur
Adama,75,Wolverhampton Wanderers
Laurent Depoitre,75,Huddersfield Town
Daniel Amartey,75,Leicester City
Arthur Masuaku,75,West Ham United
Ivan Cavaleiro,75,Wolverhampton Wanderers
Emerson,75,Chelsea
Rachid Ghezzal,75,Leicester City
Fabian Schär,75,Newcastle United
Alfie Mawson,75,Fulham
Oumar Niasse,75,Everton
Erik Durm,75,Huddersfield Town
Jürgen Locadia,75,Brighton and Hove Albion
Paul Dummett,75,Newcastle United
Stuart Armstrong,75,Southampton
Matt Doherty,75,Wolverhampton Wanderers
Jeff Hendrick,75,Burnley
Nampalys Mendy,75,Leicester City
Nathan Redmond,75,Southampton
Shinji Okazaki,75,Leicester City
Marvin Zeegelaar,75,Watford
Maya Yoshida,75,Southampton
Junior Stanislas,75,AFC Bournemouth
Ashley Westwood,75,Burnley
Mohamed Diamé,75,Newcastle United
Leon Balogun,75,Brighton and Hove Albion
Harry Arter,75,Cardiff City
Martin Kelly,75,Crystal Palace
Craig Cathcart,75,Watford
Kevin McDonald,75,Fulham
Andrew Surman,75,AFC Bournemouth
Souleymane Bamba,75,Cardiff City
Wayne Hennessey,75,Crystal Palace
Charlie Daniels,75,AFC Bournemouth
Stephen Ward,75,Burnley
Scott Dann,75,Crystal Palace
Christian Fuchs,75,Leicester City
Wes Morgan,75,Leicester City
Simon Francis,75,AFC Bournemouth
Phil Foden,74,Manchester City
Ramadan Sobhi,74,Huddersfield Town
Timothy Fosu-Mensah,74,Fulham
Marc Navarro,74,Watford
Ademola Lookman,74,Everton
Aaron Wan-Bissaka,74,Crystal Palace
André Franck Zambo Anguissa,74,Fulham
Adam Masina,74,Watford
Dominic Calvert-Lewin,74,Everton
Philip Billing,74,Huddersfield Town
Florent Hadergjonaj,74,Huddersfield Town
Lazar Marković,74,Liverpool
Manquillo,74,Newcastle United
Romain Saïss,74,Wolverhampton Wanderers
Calum Chambers,74,Fulham
Christian Atsu,74,Newcastle United
Jordon Ibe,74,AFC Bournemouth
Alex Pritchard,74,Huddersfield Town
Paulo Gazzaniga,74,Tottenham Hotspur
Charlie Taylor,74,Burnley
Joe Ralls,74,Cardiff City
Joe Bryan,74,Fulham
Jack Stephens,74,Southampton
Conor Coady,74,Wolverhampton Wanderers
Ben Gibson,74,Burnley
Matěj Vydra,74,Burnley
Greg Cunningham,74,Cardiff City
Maxime Le Marchand,74,Fulham
Junior Hoilett,74,Cardiff City
Miguel Angel Britos,74,Watford
Bruno Ecuélé Manga,74,Cardiff City
Stefan Johansen,74,Fulham
Sean Morrison,74,Cardiff City
Dan Gosling,74,AFC Bournemouth
Stefano Okaka,74,Watford
Gaëtan Bong,74,Brighton and Hove Albion
Sebastian Prödl,74,Watford
Joselu,74,Newcastle United
Adrian Mariappa,74,Watford
Danny Simpson,74,Leicester City
Younès Kaboul,74,Watford
Steven Davis,74,Southampton
Bruno Saltor,74,Brighton and Hove Albion
Artur Boruc,74,AFC Bournemouth
Lee Grant,74,Manchester United
Adama Diakhaby,73,Huddersfield Town
Diogo Dalot,73,Manchester United
Declan Rice,73,West Ham United
Adalberto Peñaranda,73,Watford
Isaac Success,73,Watford
Jaïro Riedewald,73,Crystal Palace
Léo Bonatini,73,Wolverhampton Wanderers
David Brooks,73,AFC Bournemouth
Callum Paterson,73,Cardiff City
Danny Ward,73,Leicester City
Solly March,73,Brighton and Hove Albion
Ryan Fredericks,73,West Ham United
Marcus Bettinelli,73,Fulham
Tommy Smith,73,Huddersfield Town
Chris Löwe,73,Huddersfield Town
Bobby Reid,73,Cardiff City
Jeffrey Schlupp,73,Crystal Palace
Tim Ream,73,Fulham
Kevin Long,73,Burnley
Karl Darlow,73,Newcastle United
Neil Etheridge,73,Cardiff City
Ezequiel Schelotto,73,Brighton and Hove Albion
Aron Gunnarsson,73,Cardiff City
Joel Ward,73,Crystal Palace
Alex Smithies,73,Cardiff City
Ryan Bennett,73,Wolverhampton Wanderers
Yohan Benalouane,73,Leicester City
Markus Suttner,73,Brighton and Hove Albion
Shane Long,73,Southampton
Maarten Stekelenburg,73,Everton
Juan Foyth,72,Tottenham Hotspur
Yves Bissouma,72,Brighton and Hove Albion
Oleksandr Zinchenko,72,Manchester City
Isaac Mbenza,72,Huddersfield Town
Jonjoe Kenny,72,Everton
Isaac Hayden,72,Newcastle United
Jacob Murphy,72,Newcastle United
Lucas Piazon,72,Chelsea
Emiliano Martínez,72,Arsenal
Cyrus Christie,72,Fulham
Kenneth Zohore,72,Cardiff City
Beram Kayal,72,Brighton and Hove Albion
Joe Bennett,72,Cardiff City
Rajiv van La Parra,72,Huddersfield Town
Matty James,72,Leicester City
Rob Elliot,72,Newcastle United
John Ruddy,72,Wolverhampton Wanderers
Phil Bardsley,72,Burnley
Jason Puncheon,72,Crystal Palace
Rob Green,72,Chelsea
Eldin Jakupović,72,Leicester City
Scott McTominay,71,Manchester United
Mattéo Guendouzi,71,Arsenal
Ainsley Maitland-Niles,71,Arsenal
Aboubakar Kamara,71,Fulham
Jan Bednarek,71,Southampton
Angus Gunn,71,Southampton
Ken Sema,71,Watford
Neeskens Kebano,71,Fulham
Elias Kachunga,71,Huddersfield Town
Danny Williams,71,Huddersfield Town
Nathaniel Mendez-Laing,71,Cardiff City
Connor Wickham,71,Crystal Palace
Andy King,71,Leicester City
Marc Pugh,71,AFC Bournemouth
Callum Hudson-Odoi,70,Chelsea
Fousseni Diabaté,70,Leicester City
Juninho Bacuna,70,Huddersfield Town
Kieran Dowell,70,Everton
Dominic Solanke,70,Liverpool
Lys Mousset,70,AFC Bournemouth
Matt Targett,70,Southampton
Alexander Sørloth,70,Crystal Palace
Tyrone Mings,70,AFC Bournemouth
Josh Murphy,70,Cardiff City
Jonathan Williams,70,Crystal Palace
Pape Souaré,70,Crystal Palace
Floyd Ayité,70,Fulham
Lee Tomlin,70,Cardiff City
Philippe Sandler,69,Manchester City
Brahim Díaz,69,Manchester City
Hamza Choudhury,69,Leicester City
Kyle Walker-Peters,69,Tottenham Hotspur
Mathias Normann,69,Brighton and Hove Albion
Sam Gallagher,69,Southampton
Carl Jenkinson,69,Arsenal
Danny Ward,69,Cardiff City
Ashley Richards,69,Cardiff City
Loïc Damour,69,Cardiff City
Denis Odoi,69,Fulham
Gary Madine,69,Cardiff City
Lee Peltier,69,Cardiff City
Konstantinos Mavropanos,68,Arsenal
Pleguezuelo,68,Arsenal
Ibrahima Cissé,68,Fulham
Tyias Browning,68,Everton
Collin Quaner,68,Huddersfield Town
Anthony Pilkington,68,Cardiff City
David Button,68,Brighton and Hove Albion
Anders Lindegaard,68,Burnley
Julián Speroni,68,Crystal Palace
Angel Gomes,67,Manchester United
Beni Baningime,67,Everton
Morgan Gibbs-White,67,Wolverhampton Wanderers
Pontus Dahlberg,67,Watford
Xande Silva,67,West Ham United
Reece Oxford,67,West Ham United
Dominic Iorfa,67,Wolverhampton Wanderers
Sullay Kaikai,67,Crystal Palace
Kortney Hause,67,Wolverhampton Wanderers
Brendan Galloway,67,Everton
Achraf Lazaar,67,Newcastle United
Jason Steele,67,Brighton and Hove Albion
Ben Hamer,67,Huddersfield Town
Matthew Connolly,67,Cardiff City
Claudio Gomes,66,Manchester City
Anders Dreyer,66,Brighton and Hove Albion
Rúben Vinagre,66,Wolverhampton Wanderers
Pedro Chirivella,66,Liverpool
Will Norris,66,Wolverhampton Wanderers
Ethan Ebanks-Landell,66,Wolverhampton Wanderers
Mason Greenwood,65,Manchester United
Ethan Hamilton,65,Manchester United
Callum Gribbin,65,Manchester United
Abdelhamid Sabiri,65,Huddersfield Town
Ethan Ampadu,65,Chelsea
Tahith Chong,65,Manchester United
Luke Amos,65,Tottenham Hotspur
Gedion Zelalem,65,Arsenal
Callum Elder,65,Leicester City
Kadeem Harris,65,Cardiff City
Dwight McNeil,64,Burnley
Oliver Skipp,64,Tottenham Hotspur
Emile Smith Rowe,64,Arsenal
Sam Hughes,64,Leicester City
Sean Longstaff,64,Newcastle United
Tashan Oakley-Boothe,64,Tottenham Hotspur
Edward Nketiah,64,Arsenal
Grady Diangana,64,West Ham United
Luca de la Torre,64,Fulham
Freddie Woodman,64,Newcastle United
Adam Legzdins,64,Burnley
Brian Murphy,64,Cardiff City
Michael Obafemi,63,Southampton
Joshua Bohui,63,Manchester United
Víctor Fernández,63,Newcastle United
Cohen Bramall,63,Arsenal
Domingos Quina,63,Watford
Jon Gorenc Stanković,63,Huddersfield Town
Jack Rose,63,Southampton
Eric García,62,Manchester City
James Garner,62,Manchester United
Fraser Hornby,62,Everton
Viktor Gyökeres,62,Brighton and Hove Albion
Rhian Brewster,62,Liverpool
Nathan Holland,62,West Ham United
Aaron Connolly,62,Brighton and Hove Albion
Josh Knight,62,Leicester City
Layton Ndukwu,62,Leicester City
Darnell Johnson,62,Leicester City
John Kitolano,62,Wolverhampton Wanderers
Aaron Ramsdale,62,AFC Bournemouth
Morgan Feeney,62,Everton
Anthony Georgiou,62,Tottenham Hotspur
Dan Agyei,62,Burnley
Callum Roberts,62,Newcastle United
Moses Makasi,62,West Ham United
Cameron Humphreys-Grant,62,Manchester City
Billy Gilmour,61,Chelsea
Rafael Camacho,61,Liverpool
Curtis Jones,61,Liverpool
Christoph Klarer,61,Southampton
Nathaniel Phillips,61,Liverpool
Leo Østigård,61,Brighton and Hove Albion
Martell Taylor-Crossdale,61,Chelsea
Mihai Dobre,61,AFC Bournemouth
Joseph Willock,61,Arsenal
Yan Valery,61,Southampton
Alfie Whiteman,61,Tottenham Hotspur
Kazaiah Sterling,61,Tottenham Hotspur
Arijanet Muric,61,Manchester City
Luke Bolton,61,Manchester City
Ben White,61,Brighton and Hove Albion
Jack Simpson,61,AFC Bournemouth
Matt Butcher,61,AFC Bournemouth
Demeaco Duhaney,61,Huddersfield Town
Jamie Sterry,61,Newcastle United
Shayon Harrison,61,Tottenham Hotspur
Harry Charsley,61,Everton
Joy Mukena,60,Watford
Benjamín Garré,60,Manchester City
Bobby Adekanye,60,Liverpool
Zech Medley,60,Arsenal
Shayne Lavery,60,Everton
Dan N'Lundulu,60,Southampton
Ben Rowthorn,60,Southampton
Tyreke Johnson,60,Southampton
Aron Davies,60,Fulham
Callum Slattery,60,Southampton
Benny Ashley-Seal,60,Wolverhampton Wanderers
Matty Daly,59,Huddersfield Town
Nnamdi Ofoborh,59,AFC Bournemouth
Matty Virtue,59,Liverpool
Kornelius Hansen,59,Southampton
George McEachran,59,Chelsea
Kyle Taylor,59,AFC Bournemouth
Ben Wilmot,59,Watford
Nathan Trott,59,West Ham United
Paulo Alves,59,Wolverhampton Wanderers
Nya Kirby,59,Crystal Palace
João Virgínia,59,Everton
Corey Jordan,59,AFC Bournemouth
Kamil Grabara,59,Liverpool
Michael Folivi,59,Watford
Micah Obiero,58,Huddersfield Town
Scott High,58,Huddersfield Town
James Boote,58,AFC Bournemouth
Jaidon Anthony,58,AFC Bournemouth
Timmy Abraham,58,Fulham
Marc Guehi,58,Chelsea
Pedro Gonçalves,58,Wolverhampton Wanderers
Giovanni McGregor,58,Crystal Palace
Matt O'Riley,58,Fulham
Steven Sessegnon,58,Fulham
Tyler Cordner,58,AFC Bournemouth
Ibrahim Meite,58,Cardiff City
Niall Ennis,58,Wolverhampton Wanderers
Jordi Osei-Tutu,58,Arsenal
Ben Barclay,58,Brighton and Hove Albion
James Tilley,58,Brighton and Hove Albion
Joe Powell,58,West Ham United
Yannick Toure,57,Newcastle United
Sam Woods,57,Crystal Palace
Adam Wilson,57,Newcastle United
Cameron Thompson,57,Fulham
Oliver Younger,57,Burnley
Harry Spratt,57,Huddersfield Town
Jake Barrett,57,Huddersfield Town
Conor Coventry,57,West Ham United
Ryan Schofield,57,Huddersfield Town
Kian Flanagan,57,Crystal Palace
Keelan O'Connell,57,AFC Bournemouth
Robert Harker,57,Burnley
Tom Dele-Bashiru,57,Manchester City
Josh Pask,57,West Ham United
Oskar Buur Rasmussen,57,Wolverhampton Wanderers
Jack McKay,57,Cardiff City
Kelland Watts,56,Newcastle United
Ryan Giles,56,Wolverhampton Wanderers
Marley Blair,56,Burnley
Luca Ashby-Hammond,56,Fulham
Tyrese Francois,56,Fulham
Francis Baptiste,56,Crystal Palace
Ali Koiki,56,Burnley
Tinashe Chakwana,56,Burnley
Marcin Bulka,56,Chelsea
Oliver O'Dwyer,56,Crystal Palace
Lewis Cass,55,Newcastle United
Tyrick Mitchell,55,Crystal Palace
Olatunde Bayode,55,Burnley
Mark Howarth,55,Burnley
Rarmani Edmonds-Green,55,Huddersfield Town
Andreas Søndergaard,54,Wolverhampton Wanderers
Elliot Watt,54,Wolverhampton Wanderers
Moritz Jenz,54,Fulham
Cameron John,54,Wolverhampton Wanderers
Jamie Veale,54,Cardiff City
Josh Kerr,54,Brighton and Hove Albion
Daniel Grimshaw,54,Manchester City
James Waite,53,Cardiff City
Cameron Coxe,53,Cardiff City
Ciaron Brown,52,Cardiff City
Andrew Eleftheriou,51,Watford
