player_name,overall,club
Nélson Semedo,80,Wolverhampton Wanderers
Kieran Tierney,80,Arsenal
Giovani Lo Celso,80,Tottenham Hotspur
Nicolas Pépé,80,Arsenal
Steven Bergwijn,80,Tottenham Hotspur
Donny Siva,80,Manchester United
Naby Keïta,80,Liverpool
Martin Dúbravka,80,Newcastle United
Allan Saint-Maximin,80,Newcastle United
José Sá,80,Wolverhampton Wanderers
Dele Alli,80,Tottenham Hotspur
Jonny,80,Wolverhampton Wanderers
Fred,80,Manchester United
Michael Keane,80,Everton
James Tarkowski,80,Burnley
Marcos Alonso,80,Chelsea
Michail Antonio,80,West Ham United
Guaita,80,Crystal Palace
Angelo Ogbonna,80,West Ham United
Jonny Evans,80,Leicester City
João Moutinho,80,Wolverhampton Wanderers
Emerson,79,Tottenham Hotspur
Mason Greenwood,79,Manchester United
Nikola Vlašić,79,West Ham United
Ibrahima Konaté,79,Liverpool
Adžić Bissouma,79,Brighton and Hove Albion
Oleksandr Bahusayn,79,Manchester City
Pablo Fornals,79,West Ham United
Emiliano Buendía,79,Aston Villa
Eric Bailly,79,Manchester United
Timothy Castagne,79,Leicester City
Victor Lindelöf,79,Manchester United
Davinson Sánchez,79,Tottenham Hotspur
YongHwan Mina,79,Everton
Romain Saïss,79,Wolverhampton Wanderers
Abdoulaye Doucouré,79,Everton
Jesse Lingard,79,Manchester United
Kepa,79,Chelsea
Eric Dier,79,Tottenham Hotspur
Conor Coady,79,Wolverhampton Wanderers
Lewis Dunk,79,Brighton and Hove Albion
Granit Xhaka,79,Arsenal
Callum Wilson,79,Newcastle United
Nemanja Matić,79,Manchester United
Ben Mee,79,Burnley
Aaron Cresswell,79,West Ham United
Gylfi Sigurðsson,79,Everton
James Milner,79,Liverpool
Wesley Fofana,78,Leicester City
Callum Hudson-Odoi,78,Chelsea
Emile Smith Rowe,78,Arsenal
Boubakary Soumaré,78,Leicester City
Pedro Neto,78,Wolverhampton Wanderers
M.Moreno Steffen,78,Manchester City
Aaron Ramsdale,78,Arsenal
Ezri Konsa,78,Aston Villa
Matty Cash,78,Aston Villa
Daniel Podence,78,Wolverhampton Wanderers
Kelechi Iheanacho,78,Leicester City
Jarrod Bowen,78,West Ham United
Ollie Watkins,78,Aston Villa
Saïd Benrahma,78,West Ham United
Adama Traoré,78,Wolverhampton Wanderers
Diego Llorente,78,Leeds United
Tyrone Mings,78,Aston Villa
John McGinn,78,Aston Villa
Nathan Aké,78,Manchester City
Leandro Trossard,78,Brighton and Hove Albion
Patrick Bamford,78,Leeds United
Ben Davies,78,Tottenham Hotspur
Willy Boly,78,Wolverhampton Wanderers
Oriol Romeu,78,Southampton
Ross Barkley,78,Chelsea
Alex Oxlade-Chamberlain,78,Liverpool
Rodrigo,78,Leeds United
Chris Wood,78,Burnley
Ashley Westwood,78,Burnley
Moussa Sissoko,78,Watford
Séamus Coleman,78,Everton
Ben Foster,78,Watford
Bryan Gil,77,Tottenham Hotspur
Mohammed Salisu,77,Southampton
Dwight McNeil,77,Burnley
Illan Meslier,77,Leeds United
Patson Daka,77,Leicester City
Junior Firpo,77,Leeds United
Conor Gallagher,77,Crystal Palace
Robin Koch,77,Leeds United
Douglas Luiz,77,Aston Villa
Eberechi Eze,77,Crystal Palace
Ismaïla Sarr,77,Watford
Takehiro Tomiyasu,77,Arsenal
Daniel James,77,Leeds United
Jack Harrison,77,Leeds United
Benjamin White,77,Arsenal
Issa Diop,77,West Ham United
James Justin,77,Leicester City
Romain Perraud,77,Southampton
Ademola Lookman,77,Leicester City
Robert Sanchéz,77,Brighton and Hove Albion
Rob Holding,77,Arsenal
Kyle Walker-Peters,77,Southampton
Ben Godfrey,77,Everton
Mason Holgate,77,Everton
Joachim Andersen,77,Crystal Palace
Harry Winks,77,Tottenham Hotspur
Matt Targett,77,Aston Villa
Maxwel Cornet,77,Burnley
Ayoze Pérez,77,Leicester City
Leander Dendoncker,77,Wolverhampton Wanderers
Neal Maupay,77,Brighton and Hove Albion
André Gomes,77,Everton
Joël Veltman,77,Brighton and Hove Albion
Bertrand Traoré,77,Aston Villa
Jannik Vestergaard,77,Leicester City
Stuart Armstrong,77,Southampton
Matt Doherty,77,Tottenham Hotspur
Andros Townsend,77,Everton
Craig Dawson,77,West Ham United
Juraj Kucka,77,Watford
Pascal Groß,77,Brighton and Hove Albion
Cheikhou Kouyaté,77,Crystal Palace
Juan Mata,77,Manchester United
Tim Krul,77,Norwich City
Ashley Sander Asevedo,77,Aston Villa
Gabriel Martinelli,76,Arsenal
Trincão,76,Wolverhampton Wanderers
Oliver Skipp,76,Tottenham Hotspur
Diogo Dalot,76,Manchester United
Odsonne Edouard,76,Crystal Palace
Konstantinos Tsimikas,76,Liverpool
Miguel Almirón,76,Newcastle United
Trevoh Chalobah,76,Chelsea
Pierre Lees-Melou,76,Norwich City
Milot Rashica,76,Norwich City
Ché Adams,76,Southampton
Ozan Tufan,76,Watford
Mathias Normann,76,Norwich City
Adam Armstrong,76,Southampton
Josh Brownhill,76,Burnley
Demarai Gray,76,Everton
Jan Bednarek,76,Southampton
Anwar El Ghazi,76,Aston Villa
Jean-Philippe Gbamin,76,Everton
Alex Iwobi,76,Everton
Divock Origi,76,Liverpool
Mohamed Elneny,76,Arsenal
Daniel Amartey,76,Leicester City
Arthur Masuaku,76,West Ham United
Ivan Toney,76,Brentford
Morgan Sanson,76,Aston Villa
Marçal,76,Wolverhampton Wanderers
Adam Webster,76,Brighton and Hove Albion
Luka Milivojević,76,Crystal Palace
Isaac Hayden,76,Newcastle United
Charlie Taylor,76,Burnley
Jamaal Lascelles,76,Newcastle United
Matthew Lowton,76,Burnley
Nathan Redmond,76,Southampton
Teemu Pukki,76,Norwich City
Alex McCarthy,76,Southampton
Salomón Rondón,76,Everton
Manuel Lanzini,76,West Ham United
Luke Ayling,76,Leeds United
Marc Albrighton,76,Leicester City
Ryan Bertrand,76,Leicester City
Alex Král,75,West Ham United
Enock Mwepu,75,Brighton and Hove Albion
Curtis Jones,75,Liverpool
Max Aarons,75,Norwich City
Ozan Kabak,75,Norwich City
Alexis Mac Allister,75,Brighton and Hove Albion
Frank Onyeka,75,Brentford
Emmanuel Dennis,75,Watford
Joe Willock,75,Newcastle United
Juan Camilo Hernández,75,Watford
Wang Sh Wissa,75,Brentford
Tom Davies,75,Everton
Takumi Minamino,75,Liverpool
Hwang Hee Chan,75,Wolverhampton Wanderers
Trezeguet,75,Aston Villa
Ainsley Maitland-Niles,75,Arsenal
Todd Cantwell,75,Norwich City
Connor Roberts,75,Burnley
Rico Henry,75,Brentford
Kristoffer Ajer,75,Brentford
Marvelous Nakamba,75,Aston Villa
Jaïro Riedewald,75,Crystal Palace
Ruben Loftus-Cheek,75,Chelsea
Christian Nørgaard,75,Brentford
Kortney Hause,75,Aston Villa
Fabian Schär,75,Newcastle United
Sead Kolašinac,75,Arsenal
Pablo Marí,75,Arsenal
Solly March,75,Brighton and Hove Albion
Will Hughes,75,Crystal Palace
Calum Chambers,75,Arsenal
Ryan Fredericks,75,West Ham United
Stuart Dallas,75,Leeds United
Mohamed Elyounoussi,75,Southampton
Federico Fernández,75,Newcastle United
Cédric,75,Arsenal
Jeffrey Schlupp,75,Crystal Palace
Grant Hanley,75,Norwich City
Nampalys Mendy,75,Leicester City
Dan Burn,75,Brighton and Hove Albion
Jordan Ayew,75,Crystal Palace
Andriy Adjei-Boateng,75,West Ham United
Pontus Jansson,75,Brentford
Karl Darlow,75,Newcastle United
Jóhann Berg Guðmundsson,75,Burnley
Christian Kabasele,75,Watford
Kiko Femenía,75,Watford
Liam Cooper,75,Leeds United
Jonjo Shelvey,75,Newcastle United
Joshua King,75,Watford
Christian Benteke,75,Crystal Palace
Fabian Delph,75,Everton
Ciaran Clark,75,Newcastle United
Adam Lallana,75,Brighton and Hove Albion
James Tomkins,75,Crystal Palace
Asmir Begović,75,Everton
Fraser Forster,75,Southampton
James McArthur,75,Crystal Palace
Jack Cork,75,Burnley
Danny Rose,75,Watford
Theo Walcott,75,Southampton
Tom Heaton,75,Manchester United
Mark Noble,75,West Ham United
Christos Tzolis,74,Norwich City
Brandon Williams,74,Norwich City
Bryan Mbeumo,74,Brentford
Rayan Aït Nouri,74,Wolverhampton Wanderers
Tariq Lamptey,74,Brighton and Hove Albion
Albert Sambi Lokonga,74,Arsenal
Marc Guéhi,74,Crystal Palace
Tyrick Mitchell,74,Crystal Palace
Jakub Moder,74,Brighton and Hove Albion
Pascal Struijk,74,Leeds United
Ethan Pinnock,74,Brentford
Moussa Djenepo,74,Southampton
Japhet Tanganga,74,Tottenham Hotspur
Jean-Philippe Mateta,74,Crystal Palace
Dimitris Giannoulis,74,Norwich City
Ryan Sessegnon,74,Tottenham Hotspur
Malang Sarr,74,Chelsea
Vitaly Janelt,74,Brentford
Axel Tuanzebe,74,Aston Villa
Mathias Jensen,74,Brentford
Adam Masina,74,Watford
Jonjoe Kenny,74,Everton
Joelinton,74,Newcastle United
Freddie Woodman,74,Newcastle United
David Raya,74,Brentford
Manquillo,74,Newcastle United
Danny Ward,74,Leicester City
Ryan Fraser,74,Newcastle United
Loris Karius,74,Liverpool
Jack Stephens,74,Southampton
Phil Jones,74,Manchester United
Adrián,74,Liverpool
Mateusz Klich,74,Leeds United
Shane Duffy,74,Brighton and Hove Albion
Nathaniel Clyne,74,Crystal Palace
Tom Cleverley,74,Watford
Ashley Barnes,74,Burnley
Matt Ritchie,74,Newcastle United
Joel Ward,74,Crystal Palace
Martin Kelly,74,Crystal Palace
Erik Pieters,74,Burnley
Wayne Hennessey,74,Burnley
Jay Rodriguez,74,Burnley
Darren Randolph,74,West Ham United
Luke Thomas,73,Leicester City
Michael Olise,73,Crystal Palace
Harvey Elliott,73,Liverpool
Lukas Rupp,73,Norwich City
Max Kilman,73,Wolverhampton Wanderers
Nathaniel Phillips,73,Liverpool
Ibrahima Diallo,73,Southampton
Eddie Nketiah,73,Arsenal
Bergsvand,73,Brentford
Jamal Lewis,73,Newcastle United
Hamza Choudhury,73,Leicester City
Ken Sema,73,Watford
William Troost-Ekong,73,Watford
Sam Byram,73,Norwich City
Emil Krafth,73,Newcastle United
Paul Dummett,73,Newcastle United
Jack Butland,73,Crystal Palace
Kenny McLean,73,Norwich City
Jeff Hendrick,73,Newcastle United
Matěj Vydra,73,Burnley
Adam Forshaw,73,Leeds United
Cenk Tosun,73,Everton
Danny Welbeck,73,Brighton and Hove Albion
Dale Stephens,73,Burnley
Aaron Lennon,73,Burnley
Willy Caballero,73,Southampton
Nuno Tavares,72,Arsenal
Billy Gilmour,72,Norwich City
Sean Longstaff,72,Newcastle United
Oghenekaro Etebo,72,Watford
Josh Dasilva,72,Brentford
Lyanco,72,Southampton
Joe Rodon,72,Tottenham Hotspur
Tyler Roberts,72,Leeds United
Francisco Sierralta,72,Watford
Sergi Canós,72,Brentford
Angus Gunn,72,Norwich City
Jacob Murphy,72,Newcastle United
Dwight Gayle,72,Newcastle United
Charly Musonda,72,Chelsea
Ben Gibson,72,Norwich City
Jed Steer,72,Aston Villa
Stahl,72,Brentford
Craig Cathcart,72,Watford
João Pedro,71,Watford
Nathan Collins,71,Burnley
Filip Benković,71,Leicester City
Tudor Băluță,71,Brighton and Hove Albion
Josh Sargent,71,Norwich City
Christoph Abdelkahar,71,Norwich City
Kiernan Dewsbury-Hall,71,Leicester City
Quaner Valery,71,Southampton
Kieran Dowell,71,Norwich City
Tariqe Fosu,71,Brentford
Marcus Bettinelli,71,Chelsea
Kevin Long,71,Burnley
Dan Gosling,71,Watford
Shane Long,71,Southampton
Phil Bardsley,71,Burnley
Armando Broja,70,Southampton
Fábio Silva,70,Wolverhampton Wanderers
Jeremy Ngakia,70,Watford
Jacob Ramsey,70,Aston Villa
Jamie Shackleton,70,Leeds United
Aaron Connolly,70,Brighton and Hove Albion
Steven Alzate,70,Brighton and Hove Albion
Jacob Sørensen,70,Norwich City
Lewis Baker,70,Chelsea
Julian Jeanvier,70,Brentford
Daniel Bachmann,70,Watford
Jürgen Locadia,70,Brighton and Hove Albion
John Ruddy,70,Wolverhampton Wanderers
Tino Livramento,69,Southampton
Kjell Scherpen,69,Brighton and Hove Albion
Anthony Gordon,69,Everton
Nathan Ferguson,69,Crystal Palace
Przemysław Płacheta,69,Norwich City
Saman Ghoddos,69,Brentford
Keinan Davis,69,Aston Villa
Ashley Fletcher,69,Watford
Mark Gillespie,69,Newcastle United
Amad Diallo,68,Manchester United
Crysencio Summerville,68,Leeds United
Neco Williams,68,Liverpool
Ben Johnson,68,West Ham United
Marcus Forss,68,Brentford
Shandon Baptiste,68,Brentford
Mads Bech Sørensen,68,Brentford
Rob Elliot,68,Watford
Andrew Omobamidele,67,Norwich City
Santiago Muñoz,67,Newcastle United
Joe Gelhardt,67,Leeds United
Adam Idah,67,Norwich City
Jack Clarke,67,Tottenham Hotspur
Caoimhin Kelleher,67,Liverpool
Mads Roerslev,67,Brentford
Charlie Goode,67,Brentford
Scott Carson,67,Manchester City
Cole Palmer,66,Manchester City
Anthony Elanga,66,Manchester United
Jarrad Branthwaite,66,Everton
Taylor Richards,66,Brighton and Hove Albion
Will Smallbone,66,Southampton
Nathan Tella,66,Southampton
Michael McGovern,66,Norwich City
Sam Greenwood,65,Leeds United
Ellis Simms,65,Everton
Folarin Balogun,65,Arsenal
Ki-Jana Hoever,65,Wolverhampton Wanderers
Mads Bidstrup,65,Brentford
Bali Mumba,65,Norwich City
Rocky Bushiri,65,Norwich City
Will Norris,65,Burnley
Remi Matthews,65,Crystal Palace
Joel Valencia,65,Brentford
Jason Steele,65,Brighton and Hove Albion
David Martin,65,West Ham United
Lee Grant,65,Manchester United
Myles Peart-Harris,64,Brentford
Dane Scarlett,64,Tottenham Hotspur
Jayden Braaf,64,Manchester City
Carney Chukwuemeka,64,Aston Villa
Liam Delap,64,Manchester City
Duvall Mosquera,64,Wolverhampton Wanderers
Teden Mengi,64,Manchester United
Kyle John,64,Everton
Brandon Austin,64,Tottenham Hotspur
Luke Bolton,64,Manchester City
Jarosław Jach,64,Crystal Palace
Andy Lonergan,64,Everton
Eldin Jakupović,64,Leicester City
Harvey Vale,63,Chelsea
Jeremy Sarmiento,63,Brighton and Hove Albion
Lewis Bate,63,Leeds United
Cody Drameh,63,Leeds United
Charlie Cresswell,63,Leeds United
Dominic Thompson,63,Brentford
Josh Eppiah,63,Leicester City
Tariq Uwakwe,63,Chelsea
Kristoffer Klaesson,63,Leeds United
Samuel Edozie,62,Manchester City
Romeo Lavia,62,Manchester City
Luke Mbete,62,Manchester City
Shola Shoretire,62,Manchester United
Charlie Patino,62,Arsenal
Cătălin Cîrjan,62,Arsenal
Joel Ideho,62,Arsenal
Tim Akinola,62,Arsenal
Hannibal Mejbri,62,Manchester United
Elliot Anderson,62,Newcastle United
Anthony Glennon,62,Burnley
Ryan Astley,62,Everton
Harvey White,62,Tottenham Hotspur
Jan Žambůrek,62,Brentford
Meritan Shabani,62,Wolverhampton Wanderers
Bruno Jordão,62,Wolverhampton Wanderers
Harry Lewis,62,Southampton
Sam McQueen,62,Southampton
Jesurun Rak-Sakyi,61,Crystal Palace
Lewis Richardson,61,Burnley
Nile John,61,Tottenham Hotspur
Robert Street,61,Crystal Palace
Bobby Thomas,61,Burnley
Jack Jenkins,61,Leeds United
Arthur Okonkwo,61,Arsenal
Malachi Fagan-Walcott,61,Tottenham Hotspur
Olguin Iqbal,60,Manchester United
Remi Savage,60,Newcastle United
Tyler Onyango,60,Everton
Djibril Fandje Touré,60,Watford
Amari Miller,60,Leeds United
Matthew Bondswell,60,Newcastle United
Jaden Philogene-Bidace,60,Aston Villa
Hugo Bueno,60,Wolverhampton Wanderers
F. Nevarez Monlouis,60,Arsenal
Fin Stevens,60,Brentford
Thanawat Suengchitthawon,60,Leicester City
Cameron Archer,60,Aston Villa
Vontae Daley-Campbell,60,Leicester City
Max Thompson,60,Burnley
Caleb Watts,60,Southampton
Kwadwo Baah,60,Watford
Leo Hjelde,60,Leeds United
James Olayinka,60,Arsenal
Dilan Markanday,60,Tottenham Hotspur
Anthony Gomez Mancini,60,Burnley
Ryan Cassidy,60,Watford
George McEachran,60,Chelsea
Nya Kirby,60,Crystal Palace
Tyler Morton,59,Liverpool
Harrison Ashby,59,West Ham United
Dani Iyad,59,Leeds United
Josh Brooking,59,Chelsea
Charlie Wiggett,59,Newcastle United
Henry Wise,59,Watford
Scott Banks,59,Crystal Palace
Ulrick Eneme-Ella,59,Brighton and Hove Albion
Dan Langley,59,Newcastle United
Ali Reghba,59,Leicester City
Jacob Bedeau,59,Burnley
Thierry Small,58,Southampton
Maksim Paskotsi,58,Tottenham Hotspur
Alfie Devine,58,Tottenham Hotspur
Andrew Moran,58,Brighton and Hove Albion
Lewis Dobbin,58,Everton
Kgaogelo Chauke,58,Southampton
Maxwell Haygarth,58,Brentford
Haydon Roberts,58,Brighton and Hove Albion
Mark Helm,58,Burnley
Chem Campbell,58,Wolverhampton Wanderers
Jack Sander Asevedo,58,Newcastle United
Raphaël Nya,58,Wolverhampton Wanderers
Marcel Lavinier,58,Tottenham Hotspur
Dynel Simeu,58,Southampton
Mohammed Sangare,58,Newcastle United
Lewis Gordon,58,Brentford
Robert Harker,58,Burnley
Oludare Olufunwa,57,Southampton
Jamal Baptiste,57,West Ham United
Marcelo Pitaluga,57,Liverpool
Caleb Chukwuemeka,57,Aston Villa
Amadou Diallo,57,West Ham United
Flynn Clarke,57,Norwich City
Billy Koumetio,57,Liverpool
Tom Dickson-Peters,57,Norwich City
Tom Clayton,57,Liverpool
Einar Iversen,57,Everton
Morgan Boyes,57,Liverpool
Iker Pozo,57,Manchester City
Elijah Dixon-Bonner,57,Liverpool
Ajibola Alese,57,West Ham United
Keenan Appiah-Forson,56,West Ham United
Emmanuel Longelo,56,West Ham United
Sam McClelland,56,Chelsea
Luke Cundle,56,Wolverhampton Wanderers
Maurizio Pochettino,56,Watford
Shae Hutchinson,56,Norwich City
Allan Tchaptchet,56,Southampton
James Furlong,56,Brighton and Hove Albion
Pierre Ekwah Elimby,56,West Ham United
Lucas Bergström,55,Chelsea
Joe Hodge,55,Wolverhampton Wanderers
Liam Gibbs,55,Norwich City
Matthew Cox,55,Brentford
C.Dima Emmerson,55,Brighton and Hove Albion
Lewis Richards,55,Wolverhampton Wanderers
Bernardo Rosa,55,West Ham United
Reece Hannam,55,Crystal Palace
Jake O'Brien,54,Crystal Palace
Jon McCracken,54,Norwich City
Conor Carty,53,Wolverhampton Wanderers
Harry Hagan,53,Everton
Ben Chrisene,53,Aston Villa
Michael Agboola,52,Wolverhampton Wanderers
Pascal Juan Estrada,52,Wolverhampton Wanderers
Oliver Webber,51,Crystal Palace
