player_name,overall,club
Oskar Buur Rasmussen,60,Wolverhampton Wanderers
Thanawat Suengchitthawon,59,Leicester City
Sam Greenwood,59,Leeds United
Ulrick Eneme-Ella,59,Brighton & Hove Albion
Paul Glatzel,59,Liverpool
David Parkhouse,59,Sheffield United
Khanya Leshabela,59,Leicester City
Conor Coventry,59,West Ham United
Sadou Diallo,59,Wolverhampton Wanderers
Harrison Ashby,58,West Ham United
Bobby Thomas,58,Burnley
Fabio Carvalho,58,Fulham
Christian Marques,58,Wolverhampton Wanderers
Jacob Ramsey,58,Aston Villa
Peter Gwargis,58,Brighton & Hove Albion
Oladapo Afolayan,58,West Ham United
Jack Wakely,58,Chelsea
Andreas Søndergaard,58,Wolverhampton Wanderers
Mésaque Djú,58,West Ham United
Zak Brunt,57,Sheffield United
Theodor Corbeanu,57,Wolverhampton Wanderers
Joel Mumbongo,57,Burnley
Billy Koumetio,57,Liverpool
Joe White,57,Newcastle United
Chem Campbell,57,Wolverhampton Wanderers
Liam McCarron,57,Leeds United
Yannick Touré,57,Newcastle United
Joseph Olowu,57,Arsenal
Tyrese Francois,57,Fulham
Giovanni McGregor,57,Crystal Palace
Alfie Lewis,57,West Ham United
Robert Harker,57,Burnley
Connor Barrett,56,Burnley
Will Rickard,56,Burnley
Cole Palmer,56,Manchester City
Charlie Cresswell,56,Leeds United
Sam Woods,56,Crystal Palace
Yeboah Amankwah,56,Manchester City
Owen Otasowie,56,Wolverhampton Wanderers
Ajibola Alese,56,West Ham United
Ismaila Diallo,55,Burnley
Lars Dendoncker,55,Brighton & Hove Albion
Bernardo Rosa,55,West Ham United
Dominic Revan,55,Aston Villa
Taylor Perry,55,Wolverhampton Wanderers
Joe Hardy,55,Liverpool
Teddy Jenks,54,Brighton & Hove Albion
Rico Richards,54,West Bromwich Albion
Luke Cundle,54,Wolverhampton Wanderers
George Harmon,54,West Bromwich Albion
Marcel Elva-Fountaine,54,Burnley
Lewis Richards,53,Wolverhampton Wanderers
Kyron Gordon,52,Sheffield United
Michael Tait,52,Aston Villa
Lewis Brunt,52,Aston Villa
Callum Rowe,51,Aston Villa
Harry Boyes,50,Sheffield United
Jean Belehouan,50,Sheffield United
